Wall time,Step,Value
1743547238.9753711,4513792,-99.77631378173828
1743547248.6702132,4534272,-102.94673156738281
1743547258.3584378,4554752,-102.56803894042969
1743547268.4657202,4575232,-101.27978515625
1743547278.06217,4595712,-103.82659149169922
1743547287.4020748,4616192,-99.77163696289062
1743547296.557167,4636672,-102.41352081298828
1743547305.895475,4657152,-104.29136657714844
1743547315.042611,4677632,-100.72343444824219
1743547324.656408,4698112,-102.21490478515625
1743547334.1314628,4718592,-104.32743072509766
1743547343.57736,4739072,-100.66715240478516
1743547352.796632,4759552,-103.14786529541016
1743547361.8194501,4780032,-106.79631805419922
1743547370.942643,4800512,-108.38774108886719
1743547380.2970638,4820992,-116.12049102783203
1743547389.422355,4841472,-114.2618637084961
1743547398.963546,4861952,-118.47154235839844
1743547408.585902,4882432,-120.38138580322266
1743547418.593578,4902912,-114.98016357421875
1743547428.66871,4923392,-114.8529052734375
1743547438.314019,4943872,-113.49640655517578
1743547448.394044,4964352,-108.1427001953125
1743547458.357142,4984832,-105.7115478515625
1743547468.260652,5005312,-107.33024597167969
1743547478.259129,5025792,-104.33561706542969
1743547487.8993762,5046272,-107.72801971435547
1743547497.883899,5066752,-109.82010650634766
1743547507.746897,5087232,-111.74864959716797
1743547517.573341,5107712,-113.33692169189453
1743547527.4031181,5128192,-114.96083068847656
1743547537.3693252,5148672,-112.0185317993164
1743547547.246672,5169152,-109.17655944824219
1743547557.108046,5189632,-104.78276824951172
1743547566.937542,5210112,-100.45452117919922
1743547576.5661922,5230592,-95.75945281982422
1743547586.322517,5251072,-94.51348114013672
1743547596.033507,5271552,-92.53351593017578
1743547606.070189,5292032,-92.46326446533203
1743547615.816315,5312512,-90.4598388671875
1743547626.1277802,5332992,-91.60277557373047
1743547636.173328,5353472,-88.29843139648438
1743547645.739943,5373952,-89.10576629638672
1743547655.438893,5394432,-87.67350769042969
1743547665.2064252,5414912,-91.55681610107422
1743547674.548225,5435392,-89.97480773925781
1743547684.500691,5455872,-93.06389617919922
1743547693.726758,5476352,-92.17391204833984
1743547703.488085,5496832,-89.0158920288086
1743547713.102483,5517312,-85.11775970458984
1743547722.9802592,5537792,-88.96134185791016
1743547732.25007,5558272,-89.11980438232422
1743547741.5806139,5578752,-91.23544311523438
1743547750.664161,5599232,-93.52250671386719
1743547759.6719391,5619712,-91.99574279785156
1743547769.182903,5640192,-88.5697021484375
1743547778.804716,5660672,-87.55635070800781
1743547788.3600729,5681152,-86.99269104003906
1743547797.4446342,5701632,-85.80815124511719
1743547806.538264,5722112,-86.83965301513672
1743547815.434416,5742592,-87.44544219970703
1743547824.371104,5763072,-91.77272033691406
1743547833.4217842,5783552,-90.66478729248047
1743547842.2153301,5804032,-87.91001892089844
1743547851.68008,5824512,-86.97343444824219
1743547860.724708,5844992,-82.96672058105469
1743547870.003094,5865472,-80.56849670410156
1743547878.989415,5885952,-91.2752914428711
1743547887.797534,5906432,-98.85558319091797
1743547896.815893,5926912,-101.81501007080078
1743547906.363073,5947392,-104.05152893066406
1743547915.104892,5967872,-102.51795196533203
1743547924.340404,5988352,-100.91537475585938
1743547942.658962,6023168,-99.17640686035156
1743547951.958529,6043648,-97.09624481201172
1743547961.261424,6064128,-102.22209167480469
1743547970.852739,6084608,-98.59353637695312
1743547980.508508,6105088,-101.74040222167969
1743547990.17661,6125568,-101.51565551757812
1743548000.37537,6146048,-101.54381561279297
1743548009.852386,6166528,-95.61238861083984
