V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
868.0,0.18,0.81,-0.21,1305.3,0,7.41,0,False,0,1,2,,,0.71,0.29,,
755.0,-0.03,0.6,-0.55,1694.4,0,-2.33,1,False,1,3,4,,,0.99,0.01,,
655.0,-0.17,0.17,-0.28,1991.0,0,-5.0,2,False,3,5,6,,,0.56,0.44,,
568.0,-0.21,-0.09,-0.41,2140.8,0,-5.0,3,False,5,7,8,,,0.38,0.62,,
488.0,-0.24,-0.07,-0.34,2016.2,0,-4.9,4,False,7,,,,,,,,
581.0,-0.16,-0.27,-0.16,2294.3,0,-4.19,4,False,8,9,10,,,0.16,0.84,,
525.0,-0.01,-0.13,-0.17,2262.6,1,-1.0,5,False,9,11,12,,,0.43,0.57,,
481.0,0.08,-0.04,0.12,2221.8,1,0.42,6,False,11,13,14,,,0.34,0.66,,
413.0,0.09,-0.03,0.1,2092.4,1,0.37,7,False,13,,,,,,,,
508.0,-0.07,-0.31,0.24,2298.2,1,-1.0,7,False,14,15,16,,,0.83,0.17,,
465.0,0.17,0.05,0.14,2231.9,1,1.37,8,False,15,17,18,,,0.82,0.18,,
422.0,0.17,0.06,0.34,2186.6,1,1.3,9,False,17,19,20,,,0.14,0.86,,
363.0,0.19,0.04,0.28,2059.3,1,1.13,10,False,19,,,,,,,,
438.0,-0.18,-0.41,-0.12,2287.4,1,-2.67,10,False,20,21,22,,,0.4,0.6,,
377.0,-0.2,-0.32,-0.1,2154.2,1,-2.34,11,True,21,,,,,,,,
438.0,-0.18,-0.41,-0.12,2287.4,1,-2.67,11,True,22,,,,,,,,
481.0,-0.13,-0.42,0.27,2314.3,1,-2.1,9,False,18,23,24,,,0.21,0.79,,
438.0,0.23,0.11,0.16,2243.9,1,1.69,10,False,23,25,26,,,0.26,0.74,,
376.0,0.26,0.08,0.14,2113.2,1,1.48,11,True,25,,,,,,,,
438.0,0.23,0.11,0.16,2243.9,1,1.69,11,True,26,,,,,,,,
513.0,0.16,-0.09,0.14,2323.2,1,1.81,10,False,24,27,28,,,0.43,0.57,,
441.0,0.18,-0.07,0.12,2187.9,1,1.58,11,True,27,,,,,,,,
513.0,0.16,-0.09,0.14,2323.2,1,1.81,11,True,28,,,,,,,,
543.0,0.07,-0.19,0.17,2320.1,0,0.91,8,False,16,29,30,,,0.59,0.41,,
497.0,0.16,-0.0,0.27,2233.4,1,1.84,9,False,29,31,32,,,0.17,0.83,,
450.0,0.19,0.08,0.33,2179.9,1,1.72,10,False,31,33,34,,,0.49,0.51,,
387.0,0.21,0.06,0.28,2053.0,1,1.5,11,False,33,,,,,,,,
450.0,0.19,0.08,0.33,2179.9,1,1.72,11,True,34,,,,,,,,
520.0,-0.06,-0.33,0.39,2297.5,1,-0.63,10,False,32,35,36,,,0.76,0.24,,
447.0,-0.06,-0.26,0.33,2163.7,1,-0.55,11,True,35,,,,,,,,
520.0,-0.06,-0.33,0.39,2297.5,1,-0.63,11,True,36,,,,,,,,
579.0,0.05,-0.25,0.39,2326.2,0,1.16,9,False,30,37,38,,,0.77,0.23,,
527.0,0.18,0.02,0.24,2225.3,1,2.32,10,False,37,39,40,,,0.86,0.14,,
453.0,0.2,0.01,0.2,2095.7,1,2.03,11,False,39,,,,,,,,
527.0,0.18,0.02,0.24,2225.3,1,2.32,11,True,40,,,,,,,,
617.0,0.09,-0.2,0.36,2309.5,0,2.02,10,False,38,41,42,,,0.63,0.37,,
530.0,0.1,-0.16,0.3,2175.0,0,1.76,11,True,41,,,,,,,,
617.0,0.09,-0.2,0.36,2309.5,0,2.02,11,True,42,,,,,,,,
556.0,-0.04,-0.3,0.28,2322.7,0,-0.64,6,False,12,43,44,,,0.32,0.68,,
