V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1159.0,0.1,0.62,0.15,1349.6,0,8.5,0,False,0,1,2,,,0.34,0.66,,
1020.0,-0.06,0.46,-0.29,1805.5,0,-3.85,1,False,1,3,4,,,0.7,0.3,,
890.0,-0.11,0.15,-0.14,2128.0,0,-5.0,2,False,3,5,6,,,0.55,0.45,,
765.0,-0.12,0.12,-0.12,2004.1,0,-5.0,3,False,5,,,,,,,,
890.0,-0.09,-0.13,-0.08,2389.4,0,-5.0,3,False,6,7,8,,,0.45,0.55,,
790.0,-0.04,-0.23,0.22,2344.3,0,-1.5,4,False,7,9,10,,,0.59,0.41,,
718.0,0.01,-0.16,0.16,2254.5,0,0.38,5,False,9,11,12,,,0.17,0.83,,
652.0,0.06,-0.04,0.09,2190.1,0,1.11,6,False,11,13,14,,,0.49,0.51,,
560.0,0.07,-0.03,0.07,2062.6,0,0.97,7,False,13,,,,,,,,
686.0,0.01,-0.16,0.34,2255.2,0,0.48,7,False,14,15,16,,,0.76,0.24,,
623.0,0.07,-0.03,0.09,2191.3,0,1.15,8,False,15,17,18,,,0.67,0.33,,
535.0,0.08,-0.02,0.07,2063.7,0,1.0,9,False,17,,,,,,,,
655.0,0.0,-0.18,0.37,2259.5,0,0.31,9,False,18,19,20,,,0.42,0.58,,
595.0,0.08,-0.02,0.09,2194.3,0,1.24,10,False,19,21,22,,,0.65,0.35,,
512.0,0.09,-0.02,0.08,2066.5,0,1.09,11,False,21,,,,,,,,
595.0,0.08,-0.02,0.09,2194.3,0,1.24,11,True,22,,,,,,,,
693.0,0.03,-0.2,0.3,2282.1,0,0.92,10,False,20,23,24,,,0.23,0.77,,
596.0,0.03,-0.15,0.25,2149.2,0,0.8,11,True,23,,,,,,,,
693.0,0.03,-0.2,0.3,2282.1,0,0.92,11,True,24,,,,,,,,
725.0,0.03,-0.19,0.3,2277.0,0,1.08,8,False,16,25,26,,,0.56,0.44,,
658.0,0.09,-0.03,0.12,2188.5,0,1.85,9,False,25,27,28,,,0.49,0.51,,
565.0,0.1,-0.02,0.1,2061.1,0,1.62,10,False,27,,,,,,,,
692.0,0.03,-0.15,0.34,2245.3,0,0.91,10,False,28,29,30,,,0.19,0.81,,
595.0,0.03,-0.11,0.29,2114.5,0,0.79,11,True,29,,,,,,,,
692.0,0.03,-0.15,0.34,2245.3,0,0.91,11,True,30,,,,,,,,
766.0,0.06,-0.18,0.29,2264.7,0,2.11,9,False,26,31,32,,,0.44,0.56,,
694.0,0.1,-0.01,0.12,2165.0,0,2.51,10,False,31,33,34,,,0.39,0.61,,
596.0,0.11,-0.01,0.1,2038.9,0,2.19,11,False,33,,,,,,,,
694.0,0.1,-0.01,0.12,2165.0,0,2.51,11,True,34,,,,,,,,
808.0,0.07,-0.15,0.26,2236.3,0,2.92,10,False,32,35,36,,,0.91,0.09,,
694.0,0.08,-0.12,0.22,2106.1,0,2.55,11,True,35,,,,,,,,
808.0,0.07,-0.15,0.26,2236.3,0,2.92,11,True,36,,,,,,,,
758.0,0.04,-0.18,0.27,2269.1,0,1.35,6,False,12,37,38,,,0.57,0.43,,
688.0,0.09,-0.03,0.12,2177.7,0,2.04,7,False,37,39,40,,,0.56,0.44,,
591.0,0.1,-0.02,0.1,2050.9,0,1.79,8,False,39,,,,,,,,
724.0,0.04,-0.13,0.3,2232.7,0,1.14,8,False,40,41,42,,,0.44,0.56,,
656.0,0.07,-0.01,0.09,2169.5,0,1.48,9,False,41,43,44,,,0.57,0.43,,
564.0,0.08,-0.01,0.08,2043.1,0,1.29,10,False,43,,,,,,,,
689.0,0.01,-0.15,0.34,2246.0,0,0.37,10,False,44,45,46,,,0.09,0.91,,
592.0,0.01,-0.12,0.29,2115.2,0,0.32,11,True,45,,,,,,,,
689.0,0.01,-0.15,0.34,2246.0,0,0.37,11,True,46,,,,,,,,
763.0,0.04,-0.15,0.27,2251.8,0,1.57,9,False,42,47,48,,,0.4,0.6,,
692.0,0.08,-0.02,0.11,2167.9,0,2.02,10,False,47,49,50,,,0.02,0.98,,
594.0,0.09,-0.01,0.1,2041.7,0,1.76,11,False,49,,,,,,,,
692.0,0.08,-0.02,0.11,2167.9,0,2.02,11,True,50,,,,,,,,
804.0,0.05,-0.16,0.25,2250.8,0,2.05,10,False,48,51,52,,,0.5,0.5,,
691.0,0.06,-0.12,0.21,2119.7,0,1.8,11,True,51,,,,,,,,
804.0,0.05,-0.16,0.25,2250.8,0,2.05,11,True,52,,,,,,,,
800.0,0.06,-0.16,0.26,2251.1,0,2.42,7,False,38,53,54,,,0.89,0.11,,
723.0,0.1,-0.0,0.12,2149.6,0,2.74,8,False,53,55,56,,,0.59,0.41,,
622.0,0.11,-0.0,0.1,2024.4,0,2.39,9,False,55,,,,,,,,
759.0,0.04,-0.1,0.25,2214.8,0,1.21,9,False,56,57,58,,,0.66,0.34,,
652.0,0.04,-0.08,0.21,2085.9,0,1.06,10,False,57,,,,,,,,
798.0,0.03,-0.14,0.24,2245.7,0,1.41,10,False,58,59,60,,,0.63,0.37,,
686.0,0.04,-0.11,0.2,2115.0,0,1.23,11,True,59,,,,,,,,
