V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1229.0,0.03,0.29,0.06,1218.9,0,4.31,0,False,0,1,2,,,0.09,0.91,,
1094.0,-0.03,0.21,-0.11,1462.4,0,-2.11,1,False,1,3,4,,,0.79,0.21,,
971.0,-0.06,0.05,-0.07,1633.2,0,-3.58,2,False,3,5,6,,,0.72,0.28,,
835.0,-0.07,0.04,-0.06,1538.1,0,-3.13,3,False,5,,,,,,,,
1001.0,-0.05,-0.11,-0.08,1780.8,0,-3.34,3,False,6,7,8,,,0.76,0.24,,
898.0,-0.02,-0.14,0.11,1733.3,0,-0.65,4,False,7,9,10,,,0.44,0.56,,
811.0,0.01,-0.09,0.11,1666.9,0,0.59,5,False,9,11,12,,,0.05,0.95,,
697.0,0.01,-0.07,0.09,1569.9,0,0.52,6,False,11,,,,,,,,
852.0,0.02,-0.11,0.14,1686.2,0,0.97,6,False,12,13,14,,,0.54,0.46,,
771.0,0.04,-0.03,0.07,1624.6,0,1.27,7,False,13,15,16,,,0.47,0.53,,
662.0,0.04,-0.03,0.06,1530.0,0,1.11,8,False,15,,,,,,,,
809.0,0.02,-0.08,0.15,1670.6,0,0.71,8,False,16,17,18,,,0.53,0.47,,
695.0,0.02,-0.07,0.12,1573.4,0,0.62,9,False,17,,,,,,,,
849.0,0.02,-0.11,0.15,1689.8,0,1.01,9,False,18,19,20,,,0.34,0.66,,
769.0,0.04,-0.04,0.08,1627.7,0,1.24,10,False,19,21,22,,,0.13,0.87,,
661.0,0.04,-0.03,0.07,1532.9,0,1.08,11,False,21,,,,,,,,
808.0,0.02,-0.08,0.15,1668.4,0,0.83,11,False,22,23,24,,,0.75,0.25,,
694.0,0.02,-0.07,0.12,1571.2,0,0.73,12,False,23,,,,,,,,
848.0,0.02,-0.11,0.15,1688.1,0,1.02,12,False,24,25,26,,,0.51,0.49,,
768.0,0.04,-0.04,0.08,1626.3,0,1.25,13,False,25,27,28,,,0.22,0.78,,
660.0,0.04,-0.03,0.06,1531.6,0,1.09,14,False,27,,,,,,,,
807.0,0.02,-0.08,0.14,1667.3,0,0.83,14,False,28,29,30,,,0.51,0.49,,
693.0,0.02,-0.06,0.12,1570.2,0,0.73,15,False,29,,,,,,,,
847.0,0.02,-0.11,0.15,1687.3,0,1.02,15,False,30,31,32,,,0.14,0.86,,
728.0,0.02,-0.09,0.12,1589.0,0,0.89,16,True,31,,,,,,,,
847.0,0.02,-0.11,0.15,1687.3,0,1.02,16,True,32,,,,,,,,
891.0,0.03,-0.12,0.14,1683.2,0,1.54,13,False,26,33,34,,,0.55,0.45,,
805.0,0.04,-0.03,0.08,1614.2,0,1.6,14,False,33,35,36,,,0.65,0.35,,
691.0,0.05,-0.02,0.06,1520.2,0,1.4,15,False,35,,,,,,,,
844.0,0.02,-0.07,0.12,1660.1,0,0.82,15,False,36,37,38,,,0.61,0.39,,
725.0,0.02,-0.06,0.1,1563.4,0,0.71,16,False,37,,,,,,,,
844.0,0.02,-0.07,0.12,1660.1,0,0.82,16,True,38,,,,,,,,
935.0,0.03,-0.11,0.12,1662.1,0,2.09,14,False,34,39,40,,,0.4,0.6,,
804.0,0.04,-0.08,0.1,1565.4,0,1.82,15,False,39,,,,,,,,
981.0,0.03,-0.1,0.09,1645.6,0,2.09,15,False,40,41,42,,,0.33,0.67,,
843.0,0.03,-0.07,0.08,1549.8,0,1.83,16,False,41,,,,,,,,
981.0,0.03,-0.1,0.09,1645.6,0,2.09,16,True,42,,,,,,,,
892.0,0.03,-0.12,0.14,1684.4,0,1.54,10,False,20,43,44,,,0.51,0.49,,
806.0,0.04,-0.03,0.08,1615.1,0,1.6,11,False,43,45,46,,,0.45,0.55,,
692.0,0.05,-0.02,0.07,1521.0,0,1.4,12,False,45,,,,,,,,
845.0,0.02,-0.07,0.12,1660.8,0,0.82,12,False,46,47,48,,,0.25,0.75,,
726.0,0.02,-0.06,0.1,1564.0,0,0.71,13,False,47,,,,,,,,
886.0,0.02,-0.1,0.12,1683.8,0,0.97,13,False,48,49,50,,,0.03,0.97,,
801.0,0.03,-0.04,0.08,1624.9,0,1.18,14,False,49,51,52,,,0.11,0.89,,
688.0,0.04,-0.03,0.07,1530.3,0,1.03,15,False,51,,,,,,,,
840.0,0.02,-0.08,0.12,1668.9,0,0.72,15,False,52,53,54,,,0.35,0.65,,
722.0,0.02,-0.06,0.1,1571.7,0,0.63,16,False,53,,,,,,,,
840.0,0.02,-0.08,0.12,1668.9,0,0.72,16,True,54,,,,,,,,
929.0,0.02,-0.12,0.11,1680.8,0,1.47,14,False,50,55,56,,,0.31,0.69,,
840.0,0.04,-0.03,0.08,1608.8,0,1.71,15,False,55,57,58,,,0.0,1.0,,
722.0,0.04,-0.02,0.06,1515.1,0,1.5,16,False,57,,,,,,,,
840.0,0.04,-0.03,0.08,1608.8,0,1.71,16,True,58,,,,,,,,
975.0,0.03,-0.11,0.1,1661.0,0,1.95,15,False,56,59,60,,,0.74,0.26,,
837.0,0.03,-0.09,0.08,1564.3,0,1.7,16,False,59,,,,,,,,
975.0,0.03,-0.11,0.1,1661.0,0,1.95,16,True,60,,,,,,,,
936.0,0.03,-0.11,0.12,1663.0,0,2.08,11,False,44,61,62,,,0.41,0.59,,
805.0,0.04,-0.08,0.1,1566.1,0,1.82,12,False,61,,,,,,,,
982.0,0.03,-0.1,0.09,1646.2,0,2.09,12,False,62,63,64,,,0.7,0.3,,
843.0,0.03,-0.08,0.08,1550.3,0,1.83,13,False,63,,,,,,,,
1029.0,0.02,-0.09,0.07,1633.6,0,2.05,13,False,64,65,66,,,0.68,0.32,,
884.0,0.03,-0.07,0.06,1538.5,0,1.79,14,False,65,,,,,,,,
1077.0,0.01,-0.09,0.05,1632.3,0,1.7,14,False,66,67,68,,,0.51,0.49,,
925.0,0.02,-0.07,0.05,1537.2,0,1.48,15,False,67,,,,,,,,
1126.0,0.01,-0.09,0.05,1633.8,0,1.48,15,False,68,69,70,,,0.01,0.99,,
968.0,0.01,-0.07,0.04,1538.7,0,1.3,16,False,69,,,,,,,,
1126.0,0.01,-0.09,0.05,1633.8,0,1.48,16,True,70,,,,,,,,
895.0,0.03,-0.12,0.13,1681.1,0,1.56,7,False,14,71,72,,,0.58,0.42,,
809.0,0.04,-0.03,0.08,1612.2,0,1.62,8,False,71,73,74,,,0.8,0.2,,
695.0,0.05,-0.02,0.06,1518.3,0,1.42,9,False,73,,,,,,,,
848.0,0.02,-0.07,0.11,1658.2,0,0.83,9,False,74,75,76,,,0.8,0.2,,
