V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1229.0,0.03,0.29,0.06,1218.9,0,4.31,0,False,0,1,2,,,0.46,0.54,,
1094.0,-0.03,0.21,-0.11,1462.4,0,-2.11,1,False,1,3,4,,,0.28,0.72,,
971.0,-0.06,0.05,-0.07,1633.2,0,-3.58,2,False,3,5,6,,,0.37,0.63,,
835.0,-0.07,0.04,-0.06,1538.1,0,-3.13,3,False,5,,,,,,,,
1001.0,-0.05,-0.11,-0.08,1780.8,0,-3.34,3,False,6,7,8,,,0.79,0.21,,
898.0,-0.02,-0.14,0.11,1733.3,0,-0.65,4,False,7,9,10,,,0.59,0.41,,
811.0,0.01,-0.09,0.11,1666.9,0,0.59,5,False,9,11,12,,,0.65,0.35,,
697.0,0.01,-0.07,0.09,1569.9,0,0.52,6,False,11,,,,,,,,
852.0,0.02,-0.11,0.14,1686.2,0,0.97,6,False,12,13,14,,,0.64,0.36,,
771.0,0.04,-0.03,0.07,1624.6,0,1.27,7,False,13,15,16,,,0.6,0.4,,
662.0,0.04,-0.03,0.06,1530.0,0,1.11,8,False,15,,,,,,,,
809.0,0.02,-0.08,0.15,1670.6,0,0.71,8,False,16,17,18,,,0.51,0.49,,
695.0,0.02,-0.07,0.12,1573.4,0,0.62,9,False,17,,,,,,,,
849.0,0.02,-0.11,0.15,1689.8,0,1.01,9,False,18,19,20,,,0.57,0.43,,
769.0,0.04,-0.04,0.08,1627.7,0,1.24,10,False,19,21,22,,,0.47,0.53,,
661.0,0.04,-0.03,0.07,1532.9,0,1.08,11,False,21,,,,,,,,
808.0,0.02,-0.08,0.15,1668.4,0,0.83,11,False,22,23,24,,,0.39,0.61,,
694.0,0.02,-0.07,0.12,1571.2,0,0.73,12,False,23,,,,,,,,
848.0,0.02,-0.11,0.15,1688.1,0,1.02,12,False,24,25,26,,,0.68,0.32,,
768.0,0.04,-0.04,0.08,1626.3,0,1.25,13,False,25,27,28,,,0.08,0.92,,
660.0,0.04,-0.03,0.06,1531.6,0,1.09,14,False,27,,,,,,,,
807.0,0.02,-0.08,0.14,1667.3,0,0.83,14,False,28,29,30,,,0.5,0.5,,
693.0,0.02,-0.06,0.12,1570.2,0,0.73,15,False,29,,,,,,,,
847.0,0.02,-0.11,0.15,1687.3,0,1.02,15,False,30,31,32,,,0.38,0.62,,
767.0,0.04,-0.03,0.07,1625.8,0,1.26,16,False,31,33,34,,,0.08,0.92,,
659.0,0.04,-0.03,0.06,1531.1,0,1.1,17,False,33,,,,,,,,
805.0,0.02,-0.09,0.15,1671.9,0,0.69,17,False,34,35,36,,,0.38,0.62,,
692.0,0.02,-0.07,0.13,1574.5,0,0.61,18,False,35,,,,,,,,
846.0,0.02,-0.11,0.15,1686.0,0,1.15,18,False,36,37,38,,,0.6,0.4,,
765.0,0.05,-0.03,0.08,1620.2,0,1.48,19,False,37,39,40,,,0.44,0.56,,
658.0,0.05,-0.02,0.06,1525.9,0,1.3,20,False,39,,,,,,,,
803.0,0.02,-0.08,0.15,1662.7,0,0.9,20,False,40,41,42,,,0.65,0.35,,
690.0,0.03,-0.06,0.12,1565.8,0,0.78,21,False,41,,,,,,,,
803.0,0.02,-0.08,0.15,1662.7,0,0.9,21,True,42,,,,,,,,
889.0,0.03,-0.12,0.14,1681.8,0,1.54,19,False,38,43,44,,,0.11,0.89,,
804.0,0.04,-0.03,0.08,1613.2,0,1.61,20,False,43,45,46,,,0.85,0.15,,
690.0,0.05,-0.02,0.06,1519.2,0,1.41,21,False,45,,,,,,,,
804.0,0.04,-0.03,0.08,1613.2,0,1.61,21,True,46,,,,,,,,
933.0,0.03,-0.11,0.12,1661.3,0,2.09,20,False,44,47,48,,,0.49,0.51,,
802.0,0.04,-0.08,0.1,1564.6,0,1.83,21,False,47,,,,,,,,
933.0,0.03,-0.11,0.12,1661.3,0,2.09,21,True,48,,,,,,,,
890.0,0.03,-0.12,0.14,1682.7,0,1.54,16,False,32,49,50,,,0.25,0.75,,
804.0,0.04,-0.03,0.08,1613.9,0,1.6,17,False,49,51,52,,,0.95,0.05,,
690.0,0.05,-0.02,0.06,1519.9,0,1.4,18,False,51,,,,,,,,
843.0,0.02,-0.07,0.12,1659.9,0,0.81,18,False,52,53,54,,,0.04,0.96,,
725.0,0.02,-0.06,0.1,1563.3,0,0.71,19,False,53,,,,,,,,
884.0,0.02,-0.1,0.12,1683.3,0,0.97,19,False,54,55,56,,,0.12,0.88,,
800.0,0.03,-0.04,0.08,1624.6,0,1.18,20,False,55,57,58,,,0.2,0.8,,
687.0,0.04,-0.03,0.07,1530.0,0,1.03,21,False,57,,,,,,,,
800.0,0.03,-0.04,0.08,1624.6,0,1.18,21,True,58,,,,,,,,
927.0,0.02,-0.11,0.11,1680.6,0,1.47,20,False,56,59,60,,,0.35,0.65,,
797.0,0.03,-0.09,0.09,1582.8,0,1.28,21,True,59,,,,,,,,
927.0,0.02,-0.11,0.11,1680.6,0,1.47,21,True,60,,,,,,,,
934.0,0.03,-0.11,0.12,1661.9,0,2.09,17,False,50,61,62,,,0.76,0.24,,
803.0,0.04,-0.08,0.1,1565.1,0,1.82,18,False,61,,,,,,,,
980.0,0.03,-0.1,0.1,1645.6,0,2.09,18,False,62,63,64,,,0.75,0.25,,
842.0,0.03,-0.07,0.08,1549.7,0,1.83,19,False,63,,,,,,,,
1027.0,0.02,-0.09,0.07,1633.5,0,2.05,19,False,64,65,66,,,0.21,0.79,,
882.0,0.03,-0.07,0.06,1538.4,0,1.79,20,False,65,,,,,,,,
