V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1035.0,0.01,0.16,-0.01,1141.8,0,1.48,0,False,0,1,2,,,0.49,0.51,,
926.0,-0.03,0.1,-0.08,1264.9,0,-1.41,1,False,1,3,4,,,0.41,0.59,,
796.0,-0.03,0.08,-0.06,1191.2,0,-1.23,2,False,3,,,,,,,,
926.0,-0.03,0.1,-0.08,1264.9,0,-1.41,2,False,4,,,,,,,,
1073.0,-0.04,0.05,-0.11,1360.8,0,-2.95,1,False,2,5,6,,,0.67,0.33,,
922.0,-0.05,0.04,-0.1,1281.6,0,-2.58,2,False,5,,,,,,,,
1110.0,-0.05,-0.08,-0.09,1490.2,0,-3.18,2,False,6,7,8,,,0.71,0.29,,
995.0,-0.02,-0.11,0.04,1451.1,0,-0.72,3,False,7,9,10,,,0.56,0.44,,
897.0,0.01,-0.08,0.09,1391.3,0,0.56,4,False,9,11,12,,,0.61,0.39,,
770.0,0.01,-0.06,0.07,1310.3,0,0.49,5,False,11,,,,,,,,
940.0,0.01,-0.09,0.08,1396.7,0,1.06,5,False,12,13,14,,,0.28,0.72,,
848.0,0.03,-0.03,0.06,1342.9,0,1.22,6,False,13,15,16,,,0.79,0.21,,
729.0,0.03,-0.02,0.05,1264.7,0,1.07,7,False,15,,,,,,,,
889.0,0.01,-0.06,0.08,1378.8,0,0.74,7,False,16,17,18,,,0.12,0.88,,
763.0,0.01,-0.05,0.06,1298.5,0,0.65,8,False,17,,,,,,,,
931.0,0.01,-0.09,0.07,1399.2,0,0.74,8,False,18,19,20,,,0.39,0.61,,
840.0,0.02,-0.04,0.06,1350.5,0,0.96,9,False,19,21,22,,,0.58,0.42,,
722.0,0.02,-0.03,0.05,1271.8,0,0.84,10,False,21,,,,,,,,
880.0,0.01,-0.07,0.08,1385.3,0,0.65,10,False,22,23,24,,,0.43,0.57,,
757.0,0.01,-0.05,0.07,1304.6,0,0.57,11,False,23,,,,,,,,
880.0,0.01,-0.07,0.08,1385.3,0,0.65,11,True,24,,,,,,,,
976.0,0.01,-0.1,0.07,1393.6,0,1.26,9,False,20,25,26,,,0.26,0.74,,
838.0,0.02,-0.07,0.06,1312.4,0,1.1,10,False,25,,,,,,,,
1022.0,0.02,-0.09,0.07,1378.4,0,1.55,10,False,26,27,28,,,0.6,0.4,,
878.0,0.02,-0.07,0.06,1298.1,0,1.36,11,False,27,,,,,,,,
1022.0,0.02,-0.09,0.07,1378.4,0,1.55,11,True,28,,,,,,,,
985.0,0.01,-0.09,0.07,1390.9,0,1.28,6,False,14,29,30,,,0.45,0.55,,
846.0,0.02,-0.07,0.06,1309.9,0,1.12,7,False,29,,,,,,,,
1031.0,0.01,-0.09,0.06,1382.1,0,1.35,7,False,30,31,32,,,0.67,0.33,,
886.0,0.01,-0.07,0.05,1301.7,0,1.18,8,False,31,,,,,,,,
1079.0,0.01,-0.09,0.05,1371.0,0,1.45,8,False,32,33,34,,,0.18,0.82,,
927.0,0.01,-0.07,0.04,1291.2,0,1.27,9,False,33,,,,,,,,
1128.0,0.01,-0.08,0.05,1358.0,0,1.57,9,False,34,35,36,,,0.7,0.3,,
969.0,0.01,-0.06,0.04,1278.9,0,1.37,10,False,35,,,,,,,,
1178.0,0.0,-0.08,0.04,1351.5,0,1.44,10,False,36,37,38,,,0.32,0.68,,
1012.0,0.0,-0.06,0.03,1272.8,0,1.26,11,False,37,,,,,,,,
1178.0,0.0,-0.08,0.04,1351.5,0,1.44,11,True,38,,,,,,,,
1041.0,0.0,-0.13,0.06,1434.7,0,0.74,4,False,10,39,40,,,0.71,0.29,,
937.0,0.02,-0.06,0.08,1358.7,0,1.36,5,False,39,41,42,,,0.56,0.44,,
805.0,0.02,-0.05,0.07,1279.5,0,1.19,6,False,41,,,,,,,,
981.0,0.01,-0.07,0.06,1374.0,0,1.09,6,False,42,43,44,,,0.41,0.59,,
843.0,0.01,-0.05,0.05,1293.9,0,0.96,7,False,43,,,,,,,,
1026.0,0.01,-0.08,0.05,1382.6,0,1.01,7,False,44,45,46,,,0.24,0.76,,
882.0,0.01,-0.06,0.04,1302.0,0,0.88,8,False,45,,,,,,,,
1073.0,0.01,-0.09,0.04,1378.8,0,1.2,8,False,46,47,48,,,0.45,0.55,,
922.0,0.01,-0.07,0.04,1298.5,0,1.05,9,False,47,,,,,,,,
1122.0,0.01,-0.09,0.05,1364.5,0,1.51,9,False,48,49,50,,,0.2,0.8,,
964.0,0.01,-0.07,0.04,1285.0,0,1.32,10,False,49,,,,,,,,
1172.0,0.01,-0.08,0.05,1349.1,0,1.66,10,False,50,51,52,,,0.6,0.4,,
1007.0,0.01,-0.06,0.04,1270.6,0,1.45,11,False,51,,,,,,,,
1172.0,0.01,-0.08,0.05,1349.1,0,1.66,11,True,52,,,,,,,,
1090.0,0.01,-0.12,0.07,1389.5,0,1.81,5,False,40,53,54,,,0.69,0.31,,
937.0,0.02,-0.09,0.06,1308.6,0,1.58,6,False,53,,,,,,,,
1140.0,0.02,-0.09,0.07,1348.7,0,2.24,6,False,54,55,56,,,0.16,0.84,,
