V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1011.0,0.04,0.34,-0.03,1208.5,0,3.15,0,False,0,1,2,,,0.86,0.14,,
900.0,-0.05,0.23,-0.2,1441.6,0,-2.55,1,False,1,3,4,,,0.41,0.59,,
798.0,-0.09,0.04,-0.05,1602.0,0,-3.61,2,False,3,5,6,,,0.56,0.44,,
685.0,-0.1,0.03,-0.04,1508.7,0,-3.16,3,False,5,,,,,,,,
820.0,-0.06,-0.12,0.09,1752.4,0,-2.67,3,False,6,7,8,,,0.27,0.73,,
739.0,-0.03,-0.15,0.15,1718.8,0,-1.0,4,False,7,9,10,,,0.34,0.66,,
670.0,0.01,-0.08,0.05,1671.2,0,0.09,5,False,9,11,12,,,0.88,0.12,,
576.0,0.01,-0.06,0.04,1573.9,0,0.08,6,False,11,,,,,,,,
706.0,0.01,-0.14,0.22,1707.5,0,0.3,6,False,12,13,14,,,0.28,0.72,,
641.0,0.06,-0.03,0.07,1648.9,0,1.01,7,False,13,15,16,,,0.59,0.41,,
551.0,0.07,-0.02,0.06,1552.9,0,0.88,8,False,15,,,,,,,,
675.0,0.02,-0.12,0.25,1692.1,0,0.45,8,False,16,17,18,,,0.49,0.51,,
613.0,0.06,-0.01,0.07,1643.3,0,0.91,9,False,17,19,20,,,0.33,0.67,,
526.0,0.07,-0.01,0.06,1547.6,0,0.8,10,False,19,,,,,,,,
645.0,-0.0,-0.14,0.27,1697.9,0,0.03,10,False,20,21,22,,,0.46,0.54,,
554.0,-0.0,-0.11,0.23,1599.0,0,0.03,11,True,21,,,,,,,,
645.0,-0.0,-0.14,0.27,1697.9,0,0.03,11,True,22,,,,,,,,
713.0,0.03,-0.14,0.22,1704.8,0,0.91,9,False,18,23,24,,,0.13,0.87,,
646.0,0.08,-0.01,0.08,1638.6,0,1.46,10,False,23,25,26,,,0.11,0.89,,
555.0,0.09,-0.01,0.07,1543.2,0,1.28,11,False,25,,,,,,,,
646.0,0.08,-0.01,0.08,1638.6,0,1.46,11,True,26,,,,,,,,
753.0,0.05,-0.13,0.21,1696.0,0,1.59,10,False,24,27,28,,,0.09,0.91,,
647.0,0.05,-0.1,0.18,1597.3,0,1.39,11,True,27,,,,,,,,
753.0,0.05,-0.13,0.21,1696.0,0,1.59,11,True,28,,,,,,,,
745.0,0.03,-0.14,0.22,1708.4,0,1.13,7,False,14,29,30,,,0.6,0.4,,
675.0,0.08,-0.01,0.09,1634.2,0,1.7,8,False,29,31,32,,,0.41,0.59,,
580.0,0.09,-0.01,0.08,1539.0,0,1.48,9,False,31,,,,,,,,
710.0,0.03,-0.1,0.24,1677.1,0,0.77,9,False,32,33,34,,,0.1,0.9,,
643.0,0.06,-0.0,0.06,1628.7,0,1.11,10,False,33,35,36,,,0.94,0.06,,
553.0,0.07,-0.0,0.05,1533.8,0,0.97,11,False,35,,,,,,,,
643.0,0.06,-0.0,0.06,1628.7,0,1.11,11,True,36,,,,,,,,
748.0,0.03,-0.12,0.21,1692.3,0,1.06,10,False,34,37,38,,,0.55,0.45,,
643.0,0.03,-0.09,0.17,1593.7,0,0.93,11,True,37,,,,,,,,
748.0,0.03,-0.12,0.21,1692.3,0,1.06,11,True,38,,,,,,,,
786.0,0.04,-0.13,0.21,1693.9,0,1.75,8,False,30,39,40,,,0.49,0.51,,
711.0,0.07,-0.01,0.09,1618.7,0,1.91,9,False,39,41,42,,,0.34,0.66,,
611.0,0.08,-0.0,0.07,1524.4,0,1.67,10,False,41,,,,,,,,
747.0,0.02,-0.08,0.19,1665.7,0,0.81,10,False,42,43,44,,,0.54,0.46,,
642.0,0.03,-0.06,0.16,1568.7,0,0.71,11,False,43,,,,,,,,
747.0,0.02,-0.08,0.19,1665.7,0,0.81,11,True,44,,,,,,,,
828.0,0.05,-0.11,0.18,1675.7,0,2.06,9,False,40,45,46,,,0.27,0.73,,
748.0,0.07,-0.0,0.07,1604.7,0,1.94,10,False,45,47,48,,,0.8,0.2,,
643.0,0.07,-0.0,0.06,1511.2,0,1.7,11,False,47,,,,,,,,
748.0,0.07,-0.0,0.07,1604.7,0,1.94,11,True,48,,,,,,,,
870.0,0.04,-0.1,0.15,1659.7,0,2.2,10,False,46,49,50,,,0.26,0.74,,
748.0,0.05,-0.08,0.13,1563.1,0,1.92,11,False,49,,,,,,,,
870.0,0.04,-0.1,0.15,1659.7,0,2.2,11,True,50,,,,,,,,
779.0,0.01,-0.16,0.2,1726.3,0,0.62,5,False,10,51,52,,,0.51,0.49,,
706.0,0.05,-0.05,0.09,1649.0,0,1.36,6,False,51,53,54,,,0.01,0.99,,
607.0,0.06,-0.04,0.08,1553.0,0,1.19,7,False,53,,,,,,,,
743.0,0.03,-0.1,0.2,1681.8,0,0.86,7,False,54,55,56,,,0.26,0.74,,
674.0,0.05,-0.01,0.07,1629.8,0,1.13,8,False,55,57,58,,,0.62,0.38,,
579.0,0.06,-0.01,0.06,1534.9,0,0.98,9,False,57,,,,,,,,
708.0,0.01,-0.11,0.23,1686.1,0,0.25,9,False,58,59,60,,,0.11,0.89,,
643.0,0.05,-0.02,0.05,1639.7,0,0.81,10,False,59,61,62,,,0.66,0.34,,
552.0,0.06,-0.02,0.04,1544.3,0,0.7,11,False,61,,,,,,,,
643.0,0.05,-0.02,0.05,1639.7,0,0.81,11,True,62,,,,,,,,
746.0,0.02,-0.14,0.21,1704.3,0,0.78,10,False,60,63,64,,,0.39,0.61,,
641.0,0.02,-0.11,0.18,1605.0,0,0.68,11,True,63,,,,,,,,
746.0,0.02,-0.14,0.21,1704.3,0,0.78,11,True,64,,,,,,,,
782.0,0.03,-0.12,0.2,1691.6,0,1.23,8,False,56,65,66,,,0.76,0.24,,
708.0,0.06,-0.02,0.09,1626.0,0,1.52,9,False,65,67,68,,,0.95,0.05,,
