V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.2,0.03,0,0,1,,,,1.0,,,
0.22,0.03,1,1,2,3,,,0.53,0.47,,
0.22,0.031,2,2,2,4,5,,0.65,0.19,0.16,
0.22,0.031,3,2,6,,,,1.0,,,
0.23,0.029,4,6,7,,,,1.0,,,
0.24,0.031,5,7,8,5,9,,0.19,0.34,0.47,
0.24,0.032,6,8,10,9,,,0.55,0.45,,
0.23,0.034,7,10,11,12,,,0.51,0.49,,
0.24,0.034,8,11,13,14,,,0.59,0.41,,
0.26,0.034,9,13,15,16,,,0.32,0.68,,
0.29,0.033,10,15,17,,,,1.0,,,
0.33,0.036,11,17,,,,,,,,
0.32,0.031,10,16,18,,,,1.0,,,
0.34,0.032,11,18,,,,,,,,
0.31,0.037,9,14,19,,,,1.0,,,
0.38,0.038,10,19,20,,,,1.0,,,
0.38,0.043,11,20,,,,,,,,
0.3,0.031,8,12,21,22,,,0.6,0.4,,
0.34,0.028,9,21,21,,,,1.0,,,
0.34,0.028,10,21,23,24,,,0.52,0.48,,
0.37,0.024,11,23,,,,,,,,
0.4,0.029,11,24,,,,,,,,
0.32,0.032,9,22,16,25,,,0.69,0.31,,
0.32,0.031,10,16,12,26,,,0.18,0.82,,
0.3,0.031,11,12,,,,,,,,
0.33,0.032,11,26,,,,,,,,
0.34,0.035,10,25,27,28,29,,0.45,0.4,0.15,
0.39,0.036,11,27,,,,,,,,
0.38,0.032,11,28,,,,,,,,
0.36,0.039,11,29,,,,,,,,
0.3,0.028,7,9,30,31,,,0.65,0.35,,
0.31,0.026,8,30,32,33,,,0.59,0.41,,
0.35,0.026,9,32,34,35,,,0.33,0.67,,
0.39,0.023,10,34,36,37,38,,0.51,0.34,0.15,
0.36,0.026,11,36,,,,,,,,
0.44,0.02,11,37,,,,,,,,
0.42,0.024,11,38,,,,,,,,
0.43,0.028,10,35,39,40,,,0.49,0.51,,
0.5,0.032,11,39,,,,,,,,
0.49,0.028,11,40,,,,,,,,
0.37,0.022,9,33,33,41,42,,0.18,0.61,0.21,
0.37,0.022,10,33,42,43,37,,0.44,0.3,0.27,
0.41,0.023,11,42,,,,,,,,
0.36,0.024,11,43,,,,,,,,
0.44,0.02,11,37,,,,,,,,
0.43,0.019,10,41,44,45,46,,0.53,0.28,0.19,
0.48,0.021,11,44,,,,,,,,
0.39,0.022,11,45,,,,,,,,
0.47,0.022,11,46,,,,,,,,
0.41,0.023,10,42,47,48,46,,0.19,0.35,0.46,
0.39,0.025,11,47,,,,,,,,
0.48,0.022,11,48,,,,,,,,
0.47,0.022,11,46,,,,,,,,
0.32,0.03,8,31,49,50,,,0.44,0.56,,
0.37,0.026,9,49,50,,,,1.0,,,
0.35,0.029,10,50,51,,,,1.0,,,
0.41,0.03,11,51,,,,,,,,
0.35,0.029,9,50,52,53,54,,0.04,0.45,0.52,
0.33,0.033,10,52,55,,,,1.0,,,
0.31,0.03,11,55,,,,,,,,
0.39,0.029,10,53,56,,,,1.0,,,
0.43,0.03,11,56,,,,,,,,
0.35,0.027,10,54,57,,,,1.0,,,
0.39,0.026,11,57,,,,,,,,
0.25,0.026,6,5,9,,,,1.0,,,
0.3,0.028,7,9,58,59,58,,0.65,0.05,0.31,
0.32,0.028,8,58,60,,,,1.0,,,
0.4,0.025,9,60,61,,,,1.0,,,
0.38,0.025,10,61,62,,,,1.0,,,
0.35,0.022,11,62,,,,,,,,
0.31,0.031,8,59,49,63,53,,0.65,0.26,0.09,
0.37,0.026,9,49,49,,,,1.0,,,
0.37,0.026,10,49,64,65,34,,0.62,0.34,0.04,
0.41,0.024,11,64,,,,,,,,
0.45,0.024,11,65,,,,,,,,
0.39,0.023,11,34,,,,,,,,
0.33,0.034,9,63,28,,,,1.0,,,
0.38,0.032,10,28,66,,,,1.0,,,
0.44,0.035,11,66,,,,,,,,
0.39,0.029,9,53,67,68,69,,0.38,0.45,0.17,
0.38,0.028,10,67,60,70,,,0.06,0.94,,
0.4,0.025,11,60,,,,,,,,
0.4,0.03,11,70,,,,,,,,
0.39,0.028,10,68,71,72,72,,0.31,0.38,0.32,
0.37,0.031,11,71,,,,,,,,
0.46,0.027,11,72,,,,,,,,
0.46,0.027,11,72,,,,,,,,
0.46,0.033,10,69,73,74,75,,0.5,0.34,0.16,
0.44,0.032,11,73,,,,,,,,
0.55,0.038,11,74,,,,,,,,
0.57,0.035,11,75,,,,,,,,
0.32,0.028,8,58,76,77,55,,0.44,0.54,0.02,
0.38,0.03,9,76,78,,,,1.0,,,
0.38,0.027,10,78,79,32,,,0.6,0.4,,
0.41,0.027,11,79,,,,,,,,
0.35,0.026,11,32,,,,,,,,
0.32,0.029,9,77,58,18,,,0.3,0.7,,
0.32,0.028,10,58,80,77,,,0.48,0.52,,
0.33,0.028,11,80,,,,,,,,
0.32,0.029,11,77,,,,,,,,
0.34,0.032,10,18,81,,,,1.0,,,
0.38,0.034,11,81,,,,,,,,
0.31,0.03,9,55,82,83,,,0.17,0.83,,
0.35,0.031,10,82,53,,,,1.0,,,
0.39,0.029,11,53,,,,,,,,
0.34,0.03,10,83,84,,,,1.0,,,
0.41,0.033,11,84,,,,,,,,
0.3,0.028,6,9,31,85,86,,0.43,0.46,0.11,
0.32,0.03,7,31,87,88,,,0.48,0.52,,
0.31,0.033,8,87,89,,,,1.0,,,
0.31,0.028,9,89,82,58,90,,0.51,0.18,0.3,
0.35,0.031,10,82,91,92,93,,0.58,0.12,0.3,
0.36,0.033,11,91,,,,,,,,
0.36,0.028,11,92,,,,,,,,
0.42,0.027,11,93,,,,,,,,
0.32,0.028,10,58,90,,,,1.0,,,
0.3,0.029,11,90,,,,,,,,
0.3,0.029,10,90,94,80,77,,0.42,0.49,0.09,
0.37,0.025,11,94,,,,,,,,
0.33,0.028,11,80,,,,,,,,
0.32,0.029,11,77,,,,,,,,
0.4,0.027,8,88,57,,,,1.0,,,
0.39,0.026,9,57,68,,,,1.0,,,
0.39,0.028,10,68,70,95,,,0.46,0.54,,
0.4,0.03,11,70,,,,,,,,
0.39,0.032,11,95,,,,,,,,
0.36,0.023,7,85,96,97,,,0.19,0.81,,
0.41,0.025,8,96,96,,,,1.0,,,
0.41,0.025,9,96,67,34,,,0.95,0.05,,
0.38,0.028,10,67,97,98,99,,0.05,0.42,0.53,
0.44,0.025,11,97,,,,,,,,
