V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.1,0.06,0,0,1,,,,1.0,,,
0.15,0.055,1,1,2,3,,,0.53,0.47,,
0.22,0.058,2,2,4,5,6,,0.65,0.19,0.16,
0.31,0.049,3,4,7,,,,1.0,,,
0.37,0.042,4,7,8,,,,1.0,,,
0.36,0.048,5,8,9,10,11,,0.19,0.34,0.47,
0.37,0.048,6,9,12,13,,,0.55,0.45,,
0.46,0.043,7,12,14,15,,,0.51,0.49,,
0.5,0.041,8,14,16,17,,,0.59,0.41,,
0.6,0.037,9,16,,,,,,,,
0.62,0.039,9,17,,,,,,,,
0.45,0.04,8,15,18,19,,,0.32,0.68,,
0.47,0.044,9,18,20,,,,1.0,,,
0.58,0.038,10,20,,,,,,,,
0.43,0.037,9,19,21,,,,1.0,,,
0.52,0.042,10,21,,,,,,,,
0.39,0.054,7,13,22,,,,1.0,,,
0.48,0.049,8,22,23,,,,1.0,,,
0.49,0.045,9,23,24,25,,,0.6,0.4,,
0.54,0.045,10,24,,,,,,,,
0.47,0.046,10,25,26,,,,1.0,,,
0.48,0.047,11,26,27,28,,,0.52,0.48,,
0.54,0.055,12,27,,,,,,,,
0.51,0.055,12,28,,,,,,,,
0.45,0.048,6,10,29,30,,,0.69,0.31,,
0.55,0.046,7,29,,,,,,,,
0.48,0.043,7,30,31,32,,,0.18,0.82,,
0.55,0.041,8,31,,,,,,,,
0.55,0.05,8,32,,,,,,,,
0.46,0.051,6,11,32,11,33,,0.45,0.4,0.15,
0.55,0.05,7,32,,,,,,,,
0.46,0.051,7,11,34,35,,,0.65,0.35,,
0.51,0.049,8,34,,,,,,,,
0.44,0.052,8,35,36,37,,,0.59,0.41,,
0.48,0.05,9,36,38,28,,,0.33,0.67,,
0.47,0.047,10,38,39,40,41,,0.51,0.34,0.15,
0.57,0.055,11,39,,,,,,,,
0.58,0.045,11,40,,,,,,,,
0.45,0.041,11,41,42,43,,,0.49,0.51,,
0.52,0.045,12,42,,,,,,,,
0.42,0.039,12,43,44,45,46,,0.18,0.61,0.21,
0.48,0.038,13,44,47,48,49,,0.44,0.3,0.27,
0.46,0.042,14,47,50,51,52,,0.53,0.28,0.19,
0.51,0.04,15,50,,,,,,,,
0.52,0.047,15,51,,,,,,,,
0.57,0.046,15,52,,,,,,,,
0.47,0.036,14,48,31,53,54,,0.19,0.35,0.46,
0.55,0.041,15,31,,,,,,,,
0.47,0.039,15,53,55,45,,,0.44,0.56,,
0.45,0.045,16,55,56,,,,1.0,,,
0.53,0.049,17,56,,,,,,,,
0.5,0.037,16,45,57,,,,1.0,,,
0.53,0.038,17,57,,,,,,,,
0.49,0.035,15,54,58,59,60,,0.04,0.45,0.52,
0.52,0.041,16,58,,,,,,,,
0.46,0.036,16,59,61,,,,1.0,,,
0.43,0.034,17,61,62,,,,1.0,,,
0.49,0.034,18,62,63,,,,1.0,,,
0.56,0.033,19,63,,,,,,,,
0.5,0.039,16,60,64,,,,1.0,,,
0.59,0.041,17,64,,,,,,,,
0.51,0.038,14,49,,,,,,,,
0.5,0.037,13,45,65,66,67,,0.65,0.05,0.31,
0.55,0.043,14,65,,,,,,,,
0.48,0.042,14,66,68,,,,1.0,,,
0.49,0.036,15,68,69,,,,1.0,,,
0.46,0.033,16,69,70,,,,1.0,,,
0.47,0.034,17,70,71,72,73,,0.65,0.26,0.09,
0.44,0.034,18,71,74,,,,1.0,,,
0.54,0.037,19,74,,,,,,,,
0.43,0.032,18,72,75,76,77,,0.62,0.34,0.04,
0.5,0.03,19,75,75,,,,1.0,,,
0.5,0.03,20,75,78,,,,1.0,,,
0.46,0.034,21,78,,,,,,,,
0.52,0.031,19,76,,,,,,,,
0.4,0.031,19,77,79,80,81,,0.38,0.45,0.17,
0.42,0.032,20,79,82,83,,,0.06,0.94,,
0.51,0.031,21,82,,,,,,,,
0.45,0.029,21,83,,,,,,,,
0.39,0.032,20,80,84,85,86,,0.31,0.38,0.32,
0.41,0.031,21,84,,,,,,,,
0.41,0.034,21,85,,,,,,,,
0.39,0.03,21,86,,,,,,,,
0.48,0.027,20,81,87,88,89,,0.5,0.34,0.16,
0.54,0.027,21,87,,,,,,,,
0.54,0.024,21,88,,,,,,,,
