V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.1,0.06,0,0,1,,,,1.0,,,
0.15,0.063,1,1,2,3,,,0.53,0.47,,
0.24,0.063,2,2,4,5,6,,0.65,0.19,0.16,
0.33,0.054,3,4,7,,,,1.0,,,
0.4,0.056,4,7,8,,,,1.0,,,
0.43,0.058,5,8,9,10,11,,0.19,0.34,0.47,
0.54,0.064,6,9,,,,,,,,
0.54,0.055,6,10,,,,,,,,
0.45,0.055,6,11,12,13,,,0.55,0.45,,
0.55,0.054,7,12,,,,,,,,
0.45,0.052,7,13,14,15,,,0.51,0.49,,
0.54,0.057,8,14,,,,,,,,
0.47,0.055,8,15,16,17,,,0.59,0.41,,
0.6,0.058,9,16,,,,,,,,
0.47,0.064,9,17,18,19,,,0.32,0.68,,
0.61,0.066,10,18,,,,,,,,
0.48,0.058,10,19,20,,,,1.0,,,
0.6,0.065,11,20,,,,,,,,
0.28,0.063,3,5,21,,,,1.0,,,
0.39,0.061,4,21,22,,,,1.0,,,
0.44,0.063,5,22,23,,,,1.0,,,
0.44,0.069,6,23,24,25,,,0.6,0.4,,
0.58,0.073,7,24,,,,,,,,
0.54,0.066,7,25,,,,,,,,
0.31,0.066,3,6,26,,,,1.0,,,
0.34,0.057,4,26,27,28,,,0.52,0.48,,
0.39,0.058,5,27,29,30,,,0.69,0.31,,
0.45,0.058,6,29,31,32,,,0.18,0.82,,
0.44,0.057,7,31,33,34,35,,0.45,0.4,0.15,
0.56,0.064,8,33,,,,,,,,
0.51,0.056,8,34,,,,,,,,
0.56,0.05,8,35,,,,,,,,
0.51,0.051,7,32,,,,,,,,
0.39,0.056,6,30,36,37,,,0.65,0.35,,
0.46,0.056,7,36,38,39,,,0.59,0.41,,
0.56,0.054,8,38,,,,,,,,
0.58,0.049,8,39,,,,,,,,
0.5,0.049,7,37,40,41,,,0.33,0.67,,
0.61,0.046,8,40,,,,,,,,
0.51,0.044,8,41,,,,,,,,
0.37,0.062,5,28,42,43,44,,0.51,0.34,0.15,
0.38,0.059,6,42,45,46,,,0.49,0.51,,
0.46,0.055,7,45,47,48,49,,0.18,0.61,0.21,
0.45,0.053,8,47,50,51,52,,0.44,0.3,0.27,
0.51,0.06,9,50,,,,,,,,
0.47,0.06,9,51,53,54,45,,0.53,0.28,0.19,
0.54,0.067,10,53,,,,,,,,
0.5,0.068,10,54,55,56,57,,0.19,0.35,0.46,
0.64,0.076,11,55,,,,,,,,
0.6,0.074,11,56,,,,,,,,
0.53,0.064,11,57,,,,,,,,
0.46,0.055,10,45,58,59,,,0.44,0.56,,
0.46,0.063,11,58,,,,,,,,
0.52,0.061,11,59,,,,,,,,
0.56,0.051,9,52,,,,,,,,
0.58,0.053,8,48,,,,,,,,
0.59,0.05,8,49,,,,,,,,
0.4,0.065,7,46,60,,,,1.0,,,
0.44,0.066,8,60,61,,,,1.0,,,
0.51,0.065,9,61,,,,,,,,
0.5,0.061,6,43,62,63,64,,0.04,0.45,0.52,
0.55,0.058,7,62,,,,,,,,
0.48,0.057,7,63,57,,,,1.0,,,
0.53,0.064,8,57,,,,,,,,
0.54,0.065,7,64,,,,,,,,
0.4,0.054,6,44,65,,,,1.0,,,
0.51,0.054,7,65,,,,,,,,
0.19,0.06,2,3,66,,,,1.0,,,
0.24,0.052,3,66,67,,,,1.0,,,
0.29,0.045,4,67,68,69,70,,0.65,0.05,0.31,
