V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.2,0.04,0,0,1,,,,1.0,,,
0.27,0.042,1,1,2,3,,,0.53,0.47,,
0.32,0.044,2,2,4,5,6,,0.65,0.19,0.16,
0.33,0.041,3,4,7,,,,1.0,,,
0.37,0.036,4,7,8,,,,1.0,,,
0.39,0.038,5,8,9,10,11,,0.19,0.34,0.47,
0.42,0.041,6,9,12,13,,,0.55,0.45,,
0.43,0.04,7,12,14,15,,,0.51,0.49,,
0.41,0.039,8,14,16,17,,,0.59,0.41,,
0.51,0.04,9,16,,,,,,,,
0.49,0.035,9,17,18,19,,,0.32,0.68,,
0.48,0.04,10,18,20,,,,1.0,,,
0.51,0.037,11,20,,,,,,,,
0.48,0.034,10,19,17,,,,1.0,,,
0.49,0.035,11,17,21,,,,1.0,,,
0.58,0.038,12,21,,,,,,,,
0.44,0.04,8,15,22,,,,1.0,,,
0.53,0.035,9,22,,,,,,,,
0.42,0.035,7,13,23,24,,,0.6,0.4,,
0.46,0.036,8,23,25,,,,1.0,,,
0.54,0.036,9,25,,,,,,,,
0.45,0.033,8,24,26,27,,,0.52,0.48,,
0.44,0.03,9,26,28,29,,,0.69,0.31,,
0.51,0.029,10,28,,,,,,,,
0.51,0.031,10,29,,,,,,,,
0.43,0.032,9,27,30,31,,,0.18,0.82,,
0.5,0.033,10,30,32,33,34,,0.45,0.4,0.15,
0.53,0.036,11,32,,,,,,,,
0.58,0.032,11,33,,,,,,,,
0.6,0.031,11,34,,,,,,,,
0.4,0.029,10,31,35,31,,,0.65,0.35,,
0.47,0.03,11,35,36,37,,,0.59,0.41,,
0.52,0.03,12,36,,,,,,,,
0.53,0.034,12,37,,,,,,,,
0.4,0.029,11,31,27,38,,,0.33,0.67,,
0.43,0.032,12,27,39,40,41,,0.51,0.34,0.15,
0.41,0.031,13,39,42,40,,,0.49,0.51,,
0.46,0.033,14,42,43,44,45,,0.18,0.61,0.21,
0.56,0.032,15,43,,,,,,,,
0.45,0.029,15,44,46,47,48,,0.44,0.3,0.27,
0.42,0.03,16,46,,,,,,,,
0.42,0.033,16,47,,,,,,,,
0.55,0.025,16,48,,,,,,,,
0.45,0.037,15,45,49,50,51,,0.53,0.28,0.19,
0.43,0.041,16,49,,,,,,,,
0.45,0.043,16,50,,,,,,,,
0.43,0.036,16,51,,,,,,,,
0.5,0.034,14,40,52,53,54,,0.19,0.35,0.46,
0.61,0.037,15,52,,,,,,,,
0.52,0.035,15,53,,,,,,,,
0.48,0.031,15,54,55,56,,,0.44,0.56,,
0.52,0.033,16,55,,,,,,,,
0.56,0.036,16,56,,,,,,,,
0.5,0.034,13,40,57,,,,1.0,,,
0.58,0.033,14,57,,,,,,,,
0.5,0.032,13,41,58,,,,1.0,,,
0.57,0.033,14,58,,,,,,,,
0.43,0.031,12,38,59,60,61,,0.04,0.45,0.52,
0.52,0.031,13,59,,,,,,,,
0.49,0.027,13,60,62,,,,1.0,,,
0.54,0.027,14,62,,,,,,,,
0.43,0.03,13,61,63,,,,1.0,,,
0.5,0.028,14,63,34,,,,1.0,,,
0.6,0.031,15,34,,,,,,,,
0.39,0.034,6,10,23,,,,1.0,,,
0.46,0.036,7,23,64,65,32,,0.65,0.05,0.31,
0.46,0.042,8,64,66,,,,1.0,,,
0.52,0.038,9,66,,,,,,,,
0.48,0.038,8,65,67,,,,1.0,,,
0.55,0.039,9,67,,,,,,,,
0.53,0.036,8,32,,,,,,,,
0.47,0.043,6,11,68,,,,1.0,,,
0.58,0.042,7,68,,,,,,,,
