V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.1,0.03,0,0,1,,,,1.0,,,
0.12,0.032,1,1,2,3,,,0.53,0.47,,
0.17,0.034,2,2,4,5,6,,0.65,0.19,0.16,
0.19,0.032,3,4,7,,,,1.0,,,
0.23,0.032,4,7,8,,,,1.0,,,
0.25,0.029,5,8,9,10,11,,0.19,0.34,0.47,
0.31,0.028,6,9,12,13,,,0.55,0.45,,
0.29,0.024,7,12,14,15,,,0.51,0.49,,
0.28,0.026,8,14,16,12,,,0.59,0.41,,
0.32,0.029,9,16,17,18,,,0.32,0.68,,
0.37,0.032,10,17,19,,,,1.0,,,
0.39,0.028,11,19,,,,,,,,
0.39,0.025,10,18,20,,,,1.0,,,
0.42,0.026,11,20,,,,,,,,
0.29,0.024,9,12,21,,,,1.0,,,
0.35,0.025,10,21,22,,,,1.0,,,
0.34,0.027,11,22,,,,,,,,
0.28,0.021,8,15,23,24,,,0.6,0.4,,
0.26,0.021,9,23,15,,,,1.0,,,
0.28,0.021,10,15,25,26,,,0.52,0.48,,
0.26,0.022,11,25,,,,,,,,
0.28,0.022,11,26,,,,,,,,
0.33,0.018,9,24,27,28,,,0.69,0.31,,
0.36,0.017,10,27,29,30,,,0.18,0.82,,
0.34,0.016,11,29,,,,,,,,
0.4,0.018,11,30,,,,,,,,
0.35,0.019,10,28,31,32,33,,0.45,0.4,0.15,
0.4,0.021,11,31,,,,,,,,
0.32,0.019,11,32,,,,,,,,
0.36,0.019,11,33,,,,,,,,
0.35,0.026,7,13,34,20,,,0.65,0.35,,
0.42,0.027,8,34,35,35,,,0.59,0.41,,
0.43,0.026,9,35,36,37,,,0.33,0.67,,
0.47,0.024,10,36,38,39,37,,0.51,0.34,0.15,
0.53,0.025,11,38,,,,,,,,
0.44,0.022,11,39,,,,,,,,
0.43,0.023,11,37,,,,,,,,
0.43,0.023,10,37,40,41,,,0.49,0.51,,
0.4,0.027,11,40,,,,,,,,
0.39,0.021,11,41,,,,,,,,
0.43,0.026,9,35,42,43,44,,0.18,0.61,0.21,
0.52,0.023,10,42,,,,,,,,
0.42,0.024,10,43,41,45,46,,0.44,0.3,0.27,
0.39,0.021,11,41,,,,,,,,
0.43,0.021,11,45,,,,,,,,
0.49,0.024,11,46,,,,,,,,
0.52,0.027,10,44,,,,,,,,
0.42,0.026,8,20,47,48,49,,0.53,0.28,0.19,
0.51,0.025,9,47,,,,,,,,
0.5,0.025,9,48,50,48,36,,0.19,0.35,0.46,
0.54,0.029,10,50,,,,,,,,
0.5,0.025,10,48,51,52,,,0.44,0.56,,
0.55,0.024,11,51,,,,,,,,
0.55,0.027,11,52,,,,,,,,
0.47,0.024,10,36,53,,,,1.0,,,
0.51,0.022,11,53,,,,,,,,
0.5,0.028,9,49,54,,,,1.0,,,
0.51,0.029,10,54,,,,,,,,
0.25,0.03,6,10,55,56,57,,0.04,0.45,0.52,
0.26,0.031,7,55,58,,,,1.0,,,
0.33,0.026,8,58,59,,,,1.0,,,
0.32,0.023,9,59,60,,,,1.0,,,
0.37,0.02,10,60,30,,,,1.0,,,
0.4,0.018,11,30,,,,,,,,
0.29,0.03,7,56,61,62,63,,0.65,0.05,0.31,
0.29,0.033,8,61,64,,,,1.0,,,
0.34,0.035,9,64,65,,,,1.0,,,
0.39,0.033,10,65,66,,,,1.0,,,
0.45,0.03,11,66,,,,,,,,
0.36,0.027,8,62,67,43,68,,0.65,0.26,0.09,
0.38,0.03,9,67,69,,,,1.0,,,
0.4,0.033,10,69,66,70,71,,0.62,0.34,0.04,
0.45,0.03,11,66,,,,,,,,
0.37,0.036,11,70,,,,,,,,
0.46,0.029,11,71,,,,,,,,
0.42,0.024,9,43,72,,,,1.0,,,
0.42,0.025,10,72,73,,,,1.0,,,
0.51,0.023,11,73,,,,,,,,
0.36,0.026,9,68,74,75,76,,0.38,0.45,0.17,
0.34,0.029,10,74,77,17,,,0.06,0.94,,
0.32,0.03,11,77,,,,,,,,
0.37,0.032,11,17,,,,,,,,
0.39,0.026,10,75,78,79,80,,0.31,0.38,0.32,
0.38,0.028,11,78,,,,,,,,
0.4,0.025,11,79,,,,,,,,
0.45,0.024,11,80,,,,,,,,
0.36,0.024,10,76,18,81,82,,0.5,0.34,0.16,
0.39,0.025,11,18,,,,,,,,
0.36,0.022,11,81,,,,,,,,
0.34,0.021,11,82,,,,,,,,
0.3,0.026,8,63,22,83,84,,0.44,0.54,0.02,
0.34,0.027,9,22,59,,,,1.0,,,
0.32,0.023,10,59,85,86,,,0.6,0.4,,
0.33,0.02,11,85,,,,,,,,
0.39,0.023,11,86,,,,,,,,
0.35,0.022,9,83,87,88,,,0.3,0.7,,
0.34,0.019,10,87,89,28,,,0.48,0.52,,
0.32,0.016,11,89,,,,,,,,
0.35,0.019,11,28,,,,,,,,
0.37,0.022,10,88,90,,,,1.0,,,
0.41,0.025,11,90,,,,,,,,
0.37,0.025,9,84,91,79,,,0.17,0.83,,
0.34,0.023,10,91,18,,,,1.0,,,
0.39,0.025,11,18,,,,,,,,
0.4,0.025,10,79,92,,,,1.0,,,
0.48,0.025,11,92,,,,,,,,
0.28,0.028,7,57,13,93,94,,0.43,0.46,0.11,
0.35,0.026,8,13,95,96,,,0.48,0.52,,
0.38,0.029,9,95,97,,,,1.0,,,
0.39,0.032,10,97,98,99,100,,0.51,0.18,0.3,
0.38,0.027,11,98,,,,,,,,
0.48,0.031,11,99,,,,,,,,
0.48,0.03,11,100,,,,,,,,
0.35,0.028,9,96,101,102,19,,0.58,0.12,0.3,
0.4,0.024,10,101,20,,,,1.0,,,
0.42,0.026,11,20,,,,,,,,
0.35,0.024,10,102,72,60,18,,0.42,0.49,0.09,
0.42,0.025,11,72,,,,,,,,
0.37,0.02,11,60,,,,,,,,
0.39,0.025,11,18,,,,,,,,
