V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.3,0.03,0,0,1,,,,1.0,,,
0.32,0.031,1,1,2,3,,,0.53,0.47,,
0.4,0.031,2,2,4,5,6,,0.65,0.19,0.16,
0.44,0.032,3,4,7,,,,1.0,,,
0.46,0.032,4,7,8,,,,1.0,,,
0.42,0.03,5,8,9,10,11,,0.19,0.34,0.47,
0.47,0.028,6,9,9,12,,,0.55,0.45,,
0.47,0.028,7,9,13,14,,,0.51,0.49,,
0.56,0.032,8,13,,,,,,,,
0.5,0.026,8,14,15,16,,,0.59,0.41,,
0.53,0.028,9,15,,,,,,,,
0.45,0.028,9,16,17,18,,,0.32,0.68,,
0.48,0.033,10,17,19,,,,1.0,,,
0.52,0.038,11,19,,,,,,,,
0.44,0.027,10,18,20,,,,1.0,,,
0.44,0.03,11,20,21,,,,1.0,,,
0.54,0.033,12,21,,,,,,,,
0.46,0.027,7,12,22,,,,1.0,,,
0.47,0.024,8,22,23,24,,,0.6,0.4,,
0.52,0.025,9,23,,,,,,,,
0.53,0.022,9,24,,,,,,,,
0.4,0.035,6,10,25,,,,1.0,,,
0.44,0.034,7,25,26,27,,,0.52,0.48,,
0.51,0.039,8,26,,,,,,,,
0.54,0.039,8,27,,,,,,,,
0.44,0.026,6,11,28,29,,,0.69,0.31,,
0.42,0.026,7,28,30,31,,,0.18,0.82,,
0.41,0.028,8,30,32,4,33,,0.45,0.4,0.15,
0.5,0.028,9,32,34,14,,,0.65,0.35,,
0.47,0.026,10,34,35,36,,,0.59,0.41,,
0.56,0.029,11,35,,,,,,,,
0.5,0.024,11,36,37,38,,,0.33,0.67,,
0.54,0.026,12,37,,,,,,,,
0.52,0.028,12,38,,,,,,,,
0.5,0.026,10,14,39,9,40,,0.51,0.34,0.15,
0.51,0.031,11,39,,,,,,,,
0.47,0.028,11,9,41,42,,,0.49,0.51,,
0.49,0.03,12,41,43,44,45,,0.18,0.61,0.21,
0.54,0.035,13,43,,,,,,,,
0.57,0.026,13,44,,,,,,,,
0.45,0.033,13,45,46,47,48,,0.44,0.3,0.27,
0.43,0.037,14,46,49,50,51,,0.53,0.28,0.19,
0.46,0.038,15,49,52,53,54,,0.19,0.35,0.46,
0.56,0.039,16,52,,,,,,,,
0.45,0.034,16,53,4,55,,,0.44,0.56,,
0.44,0.032,17,4,56,,,,1.0,,,
0.43,0.031,18,56,57,,,,1.0,,,
0.4,0.034,19,57,58,59,57,,0.04,0.45,0.52,
0.46,0.03,20,58,56,,,,1.0,,,
0.43,0.031,21,56,,,,,,,,
0.39,0.034,20,59,60,,,,1.0,,,
0.45,0.035,21,60,,,,,,,,
0.4,0.034,20,57,61,,,,1.0,,,
0.42,0.037,21,61,,,,,,,,
0.5,0.029,17,55,34,,,,1.0,,,
0.47,0.026,18,34,62,36,18,,0.65,0.05,0.31,
0.51,0.023,19,62,,,,,,,,
0.5,0.024,19,36,63,,,,1.0,,,
0.5,0.025,20,63,64,,,,1.0,,,
0.53,0.024,21,64,,,,,,,,
0.44,0.027,19,18,65,,,,1.0,,,
0.45,0.025,20,65,66,67,68,,0.65,0.26,0.09,
0.43,0.027,21,66,,,,,,,,
0.54,0.023,21,67,,,,,,,,
0.46,0.026,21,68,,,,,,,,
0.55,0.036,16,54,,,,,,,,
0.54,0.04,15,50,,,,,,,,
0.41,0.04,15,51,69,,,,1.0,,,
0.46,0.043,16,69,70,71,72,,0.62,0.34,0.04,
0.55,0.05,17,70,,,,,,,,
0.49,0.049,17,71,73,,,,1.0,,,
0.49,0.054,18,73,74,,,,1.0,,,
0.59,0.061,19,74,,,,,,,,
0.48,0.044,17,72,75,76,77,,0.38,0.45,0.17,
0.49,0.047,18,75,78,79,,,0.06,0.94,,
0.53,0.045,19,78,,,,,,,,
0.47,0.054,19,79,80,81,82,,0.31,0.38,0.32,
0.6,0.055,20,80,,,,,,,,
0.55,0.051,20,81,,,,,,,,
0.52,0.052,20,82,,,,,,,,
0.56,0.046,18,76,,,,,,,,
