V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.46,0.02,16,25,,,,,,,,
0.38,0.016,13,72,77,46,112,,0.48,0.22,0.31,
0.41,0.014,14,77,113,,,,1.0,,,
0.42,0.013,15,113,114,115,,,0.43,0.57,,
0.39,0.013,16,114,,,,,,,,
0.46,0.012,16,115,,,,,,,,
0.44,0.016,14,46,116,43,,,0.03,0.97,,
0.47,0.015,15,116,97,,,,1.0,,,
0.48,0.014,16,97,,,,,,,,
0.42,0.017,15,43,117,,,,1.0,,,
0.5,0.02,16,117,,,,,,,,
0.43,0.014,14,112,95,90,114,,0.49,0.48,0.04,
0.46,0.014,15,95,118,119,120,,0.38,0.16,0.46,
0.41,0.012,16,118,,,,,,,,
0.43,0.016,16,119,,,,,,,,
0.51,0.015,16,120,,,,,,,,
0.44,0.014,15,90,121,,,,1.0,,,
0.46,0.016,16,121,,,,,,,,
0.39,0.013,15,114,115,,,,1.0,,,
0.46,0.012,16,115,,,,,,,,
0.39,0.022,10,81,52,33,122,,0.07,0.74,0.19,
0.44,0.022,11,52,33,123,124,,0.3,0.58,0.11,
0.46,0.021,12,33,125,52,,,0.76,0.24,,
0.43,0.02,13,125,126,,,,1.0,,,
0.41,0.018,14,126,127,71,119,,0.35,0.26,0.39,
0.42,0.02,15,127,128,129,130,,0.09,0.52,0.39,
0.41,0.022,16,128,,,,,,,,
0.42,0.019,16,129,,,,,,,,
0.46,0.023,16,130,,,,,,,,
0.48,0.018,15,71,131,,,,1.0,,,
0.48,0.019,16,131,,,,,,,,
0.43,0.016,15,119,132,133,,,0.23,0.77,,
0.47,0.017,16,132,,,,,,,,
0.47,0.016,16,133,,,,,,,,
0.44,0.022,13,52,134,,,,1.0,,,
0.44,0.023,14,134,135,125,,,0.36,0.64,,
0.5,0.024,15,135,136,137,138,,0.35,0.3,0.35,
0.49,0.028,16,136,,,,,,,,
0.58,0.025,16,137,,,,,,,,
0.57,0.028,16,138,,,,,,,,
0.43,0.02,15,125,139,140,26,,0.29,0.23,0.48,
0.39,0.018,16,139,,,,,,,,
0.45,0.022,16,140,,,,,,,,
0.48,0.02,16,26,,,,,,,,
0.4,0.026,12,123,141,142,,,0.44,0.56,,
0.41,0.029,13,141,143,144,143,,0.4,0.25,0.35,
0.4,0.03,14,143,145,,,,1.0,,,
0.39,0.027,15,145,146,,,,1.0,,,
0.45,0.03,16,146,,,,,,,,
0.41,0.033,14,144,147,,,,1.0,,,
0.45,0.036,15,147,148,,,,1.0,,,
0.42,0.038,16,148,,,,,,,,
0.4,0.03,14,143,149,150,151,,0.56,0.37,0.07,
0.42,0.027,15,149,36,152,,,0.36,0.64,,
0.45,0.024,16,36,,,,,,,,
0.51,0.031,16,152,,,,,,,,
0.38,0.031,15,150,153,154,155,,0.42,0.22,0.36,
0.36,0.035,16,153,,,,,,,,
0.41,0.034,16,154,,,,,,,,
0.37,0.031,16,155,,,,,,,,
0.43,0.028,15,151,156,,,,1.0,,,
0.49,0.026,16,156,,,,,,,,
0.38,0.029,13,142,145,157,,,0.16,0.84,,
0.39,0.027,14,145,158,159,160,,0.61,0.2,0.19,
0.44,0.024,15,158,161,162,140,,0.16,0.6,0.24,
0.51,0.025,16,161,,,,,,,,
0.51,0.022,16,162,,,,,,,,
0.45,0.022,16,140,,,,,,,,
0.44,0.029,15,159,163,164,165,,0.38,0.24,0.38,
0.52,0.03,16,163,,,,,,,,
0.5,0.025,16,164,,,,,,,,
0.49,0.029,16,165,,,,,,,,
0.47,0.027,15,160,160,166,167,,0.25,0.49,0.26,
0.47,0.027,16,160,,,,,,,,
0.46,0.027,16,166,,,,,,,,
0.48,0.03,16,167,,,,,,,,
0.39,0.026,14,157,168,,,,1.0,,,
0.36,0.026,15,168,169,170,,,0.26,0.74,,
0.37,0.028,16,169,,,,,,,,
0.43,0.027,16,170,,,,,,,,
0.47,0.024,12,124,171,172,,,0.6,0.4,,
0.47,0.026,13,171,173,161,174,,0.19,0.43,0.38,
0.45,0.023,14,173,174,175,176,,0.18,0.5,0.32,
0.52,0.025,15,174,,,,,,,,
0.5,0.027,15,175,177,178,179,,0.18,0.4,0.42,
0.46,0.03,16,177,,,,,,,,
0.54,0.027,16,178,,,,,,,,
0.53,0.032,16,179,,,,,,,,
0.53,0.027,15,176,,,,,,,,
0.51,0.025,14,161,,,,,,,,
0.52,0.025,14,174,,,,,,,,
0.53,0.023,13,172,,,,,,,,
0.46,0.021,11,33,162,180,,,0.39,0.61,,
0.51,0.022,12,162,,,,,,,,
0.47,0.02,12,180,181,28,,,0.44,0.56,,
0.47,0.019,13,181,182,,,,1.0,,,
0.52,0.019,14,182,,,,,,,,
0.46,0.022,13,28,183,,,,1.0,,,
0.49,0.02,14,183,28,134,184,,0.25,0.14,0.62,
0.46,0.022,15,28,185,27,,,0.52,0.48,,
0.46,0.026,16,185,,,,,,,,
0.5,0.022,16,27,,,,,,,,
0.44,0.023,15,134,156,,,,1.0,,,
0.49,0.026,16,156,,,,,,,,
0.48,0.021,15,184,130,140,186,,0.34,0.29,0.36,
0.46,0.023,16,130,,,,,,,,
0.45,0.022,16,140,,,,,,,,
0.52,0.023,16,186,,,,,,,,
0.38,0.021,11,122,187,,,,1.0,,,
0.35,0.022,12,187,188,23,,,0.48,0.52,,
0.36,0.025,13,188,189,,,,1.0,,,
0.42,0.023,14,189,35,,,,1.0,,,
0.47,0.022,15,35,190,,,,1.0,,,
0.54,0.026,16,190,,,,,,,,
0.39,0.02,13,23,88,19,,,0.44,0.56,,
0.38,0.019,14,88,91,,,,1.0,,,
0.37,0.018,15,91,62,191,,,0.5,0.5,,
0.36,0.019,16,62,,,,,,,,
0.41,0.017,16,191,,,,,,,,
0.43,0.023,14,19,135,192,,,0.35,0.65,,
0.5,0.024,15,135,193,,,,1.0,,,
0.59,0.023,16,193,,,,,,,,
0.4,0.021,15,192,44,194,122,,0.45,0.1,0.45,
0.37,0.019,16,44,,,,,,,,
0.38,0.02,16,194,,,,,,,,
0.38,0.021,16,122,,,,,,,,
0.39,0.017,10,82,195,196,,,0.29,0.71,,
0.46,0.018,11,195,182,197,198,,0.2,0.24,0.56,
0.52,0.019,12,182,,,,,,,,
0.54,0.018,12,197,,,,,,,,
0.55,0.016,12,198,,,,,,,,
0.45,0.019,11,196,199,200,,,0.81,0.19,,
0.5,0.017,12,199,116,201,,,0.37,0.63,,
0.47,0.015,13,116,43,202,,,0.04,0.96,,
0.42,0.017,14,43,45,131,44,,0.27,0.54,0.19,
0.45,0.017,15,45,203,181,25,,0.09,0.45,0.46,
0.49,0.019,16,203,,,,,,,,
0.47,0.019,16,181,,,,,,,,
0.46,0.02,16,25,,,,,,,,
0.48,0.019,15,131,204,205,,,0.09,0.91,,
0.53,0.022,16,204,,,,,,,,
0.46,0.017,16,205,,,,,,,,
0.37,0.019,15,44,206,86,,,0.26,0.74,,
0.36,0.02,16,206,,,,,,,,
0.4,0.017,16,86,,,,,,,,
0.46,0.015,14,202,207,208,,,0.62,0.38,,
0.5,0.013,15,207,209,,,,1.0,,,
0.56,0.012,16,209,,,,,,,,
0.54,0.017,15,208,,,,,,,,
0.49,0.016,13,201,24,,,,1.0,,,
0.44,0.019,14,24,81,210,211,,0.56,0.1,0.34,
0.39,0.022,15,81,173,,,,1.0,,,
0.45,0.023,16,173,,,,,,,,
0.44,0.02,15,210,184,,,,1.0,,,
0.48,0.021,16,184,,,,,,,,
0.51,0.021,15,211,,,,,,,,
0.49,0.021,12,200,212,31,213,,0.16,0.19,0.65,
0.51,0.024,13,212,,,,,,,,
0.57,0.024,13,31,,,,,,,,
0.54,0.022,13,213,,,,,,,,
0.26,0.017,8,13,214,,,,1.0,,,
0.31,0.014,9,214,215,216,,,0.8,0.2,,
0.32,0.013,10,215,214,217,,,0.14,0.86,,
0.31,0.014,11,214,218,,,,1.0,,,
0.34,0.012,12,218,219,220,,,0.77,0.23,,
0.33,0.011,13,219,221,222,223,,0.22,0.32,0.46,
0.29,0.01,14,221,224,225,,,0.15,0.85,,
0.34,0.009,15,224,224,224,,,0.22,0.78,,
0.34,0.009,16,224,,,,,,,,
0.34,0.009,16,224,,,,,,,,
0.27,0.01,15,225,226,227,,,0.57,0.43,,
0.27,0.008,16,226,,,,,,,,
0.26,0.008,16,227,,,,,,,,
0.38,0.011,14,222,228,,,,1.0,,,
0.37,0.01,15,228,229,230,231,,0.34,0.22,0.44,
0.39,0.01,16,229,,,,,,,,
0.36,0.011,16,230,,,,,,,,
