V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.1,0.07,0,0,1,,,,1.0,,,
0.15,0.059,1,1,2,3,,,0.53,0.47,,
0.21,0.061,2,2,4,5,6,,0.65,0.19,0.16,
0.26,0.06,3,4,7,,,,1.0,,,
0.28,0.06,4,7,8,,,,1.0,,,
0.39,0.066,5,8,9,10,11,,0.19,0.34,0.47,
0.47,0.069,6,9,12,13,,,0.55,0.45,,
0.59,0.078,7,12,,,,,,,,
0.51,0.075,7,13,,,,,,,,
0.49,0.069,6,10,14,15,,,0.51,0.49,,
0.63,0.06,7,14,,,,,,,,
0.64,0.064,7,15,,,,,,,,
0.48,0.058,6,11,16,17,,,0.59,0.41,,
0.5,0.065,7,16,18,19,,,0.32,0.68,,
0.61,0.061,8,18,,,,,,,,
0.48,0.07,8,19,20,,,,1.0,,,
0.47,0.065,9,20,9,,,,1.0,,,
0.47,0.069,10,9,21,,,,1.0,,,
0.52,0.065,11,21,,,,,,,,
0.57,0.066,7,17,,,,,,,,
0.25,0.051,3,5,22,,,,1.0,,,
0.28,0.051,4,22,23,24,,,0.6,0.4,,
0.35,0.044,5,23,25,,,,1.0,,,
0.34,0.039,6,25,26,27,,,0.52,0.48,,
0.34,0.037,7,26,28,29,,,0.69,0.31,,
0.4,0.034,8,28,30,31,,,0.18,0.82,,
0.42,0.031,9,30,32,33,34,,0.45,0.4,0.15,
0.45,0.027,10,32,35,36,,,0.65,0.35,,
0.46,0.029,11,35,37,38,,,0.59,0.41,,
0.51,0.03,12,37,,,,,,,,
0.51,0.031,12,38,,,,,,,,
0.48,0.029,11,36,39,40,,,0.33,0.67,,
0.51,0.028,12,39,,,,,,,,
0.58,0.027,12,40,,,,,,,,
0.41,0.03,10,33,41,42,43,,0.51,0.34,0.15,
0.45,0.031,11,41,44,45,,,0.49,0.51,,
0.43,0.029,12,44,46,36,47,,0.18,0.61,0.21,
0.47,0.028,13,46,48,49,50,,0.44,0.3,0.27,
0.46,0.028,14,48,31,51,52,,0.53,0.28,0.19,
0.45,0.032,15,31,53,54,55,,0.19,0.35,0.46,
0.42,0.029,16,53,,,,,,,,
0.52,0.035,16,54,,,,,,,,
0.5,0.035,16,55,,,,,,,,
0.5,0.027,15,51,56,36,,,0.44,0.56,,
0.5,0.03,16,56,,,,,,,,
0.48,0.029,16,36,,,,,,,,
0.56,0.029,15,52,,,,,,,,
0.56,0.033,14,49,,,,,,,,
0.54,0.031,14,50,,,,,,,,
0.48,0.029,13,36,57,,,,1.0,,,
0.58,0.03,14,57,,,,,,,,
0.48,0.033,13,47,58,,,,1.0,,,
0.56,0.03,14,58,,,,,,,,
0.5,0.033,12,45,59,60,35,,0.04,0.45,0.52,
0.54,0.036,13,59,,,,,,,,
0.52,0.033,13,60,,,,,,,,
0.46,0.029,13,35,61,,,,1.0,,,
0.43,0.032,14,61,62,,,,1.0,,,
0.45,0.034,15,62,63,,,,1.0,,,
0.42,0.034,16,63,,,,,,,,
0.43,0.031,11,42,64,,,,1.0,,,
0.49,0.029,12,64,41,65,34,,0.65,0.05,0.31,
0.45,0.031,13,41,66,,,,1.0,,,
0.55,0.029,14,66,,,,,,,,
0.55,0.027,13,65,,,,,,,,
0.48,0.028,13,34,67,,,,1.0,,,
0.43,0.025,14,67,68,,,,1.0,,,
0.44,0.024,15,68,69,70,71,,0.65,0.26,0.09,
0.44,0.027,16,69,,,,,,,,
0.52,0.024,16,70,,,,,,,,
0.42,0.027,16,71,,,,,,,,
0.4,0.033,11,43,72,,,,1.0,,,
